ID,Name,Symbol,Slug,CMCRank,Price,Volume24h,VolumeChange24h,PercentChange1h,PercentChange24h,PercentChange7d,PercentChange30d,PercentChange60d,PercentChange90d,MarketCap,MarketCapDominance,FullyDilutedMarketCap,TVL,LastUpdated,LoadedWhen,IsTopCurrency
1,Bitcoin,BTC,bitcoin,1,105329.77625569727,49743117658.56471,-28.5494,0.59539848,1.92379351,11.58412588,9.00866733,13.82601745,52.534133,2086809326644.3127,57.1749,2211925301369.64,,2025-01-19T06:47:00.000Z,2025-01-19T06:48:06.000Z,True
1027,Ethereum,ETH,ethereum,2,3286.9674561903594,32019433499.435513,8.245,0.24798917,-0.91100386,0.52512841,-1.69516769,5.72581427,20.06027769,396090652654.9031,10.8555,396090652654.9,,2025-01-19T06:47:00.000Z,2025-01-19T06:48:06.000Z,True
5426,Solana,SOL,solana,5,271.6103837670456,24256021564.461113,153.1236,1.56524289,14.67832896,45.66339494,43.23332335,15.62733562,59.25434248,132187578331.23924,3.6228,160936450135.68,,2025-01-19T06:47:00.000Z,2025-01-19T06:48:06.000Z,True
74,Dogecoin,DOGE,dogecoin,7,0.3976147442012784,5635062189.364539,-35.5866,1.59109535,-0.47206444,17.0173588,27.16938542,2.47258338,168.20594129,58721461681.44764,1.6091,58721461681.45,,2025-01-19T06:47:00.000Z,2025-01-19T06:48:06.000Z,True
1958,TRON,TRX,tron,10,0.2426395256265177,926621164.8034176,-33.4563,0.27935048,-0.08348388,1.37039286,-1.61288266,22.56725443,55.59002568,20904751777.48881,0.5728,20904753841.61,,2025-01-19T06:47:00.000Z,2025-01-19T06:48:06.000Z,True
11840,Optimism,OP,optimism-ethereum,52,1.8601376120127353,258352523.63378453,10.1173,-0.08766352,0.20782208,3.65273828,-1.09848348,7.58026172,3.26932831,2514383417.877059,0.0689,7989230209.65,,2025-01-19T06:47:00.000Z,2025-01-19T06:48:06.000Z,False
4030,Algorand,ALGO,algorand,40,0.4372655733458497,293774593.1493759,-21.8251,1.10263049,-1.83750689,18.22731782,29.83497488,99.61359248,234.5836535,3664678316.681734,0.1004,4372655733.46,,2025-01-19T06:47:00.000Z,2025-01-19T06:48:06.000Z,False
3794,Cosmos,ATOM,cosmos,51,6.511512380382742,179915453.42131144,-21.4352,-0.00626606,-3.01298802,-1.70352891,-3.04259667,2.84917922,34.47791922,2545572909.2610726,0.0698,2545572909.26,,2025-01-19T06:47:00.000Z,2025-01-19T06:48:06.000Z,False
328,Monero,XMR,monero,36,216.51215301430557,73572900.29025324,-23.0858,-0.80782125,-1.86686582,9.88507964,10.84290546,35.07930644,33.43740411,3993944275.5027366,0.1095,3993944275.5,,2025-01-19T06:47:00.000Z,2025-01-19T06:48:06.000Z,False
7278,Aave,AAVE,aave,32,310.1837405845319,498054169.59744656,-11.6051,0.22438173,-2.24920098,7.41303332,3.1354056,92.48661697,98.65456701,4667758115.686148,0.1279,4962939849.35,21661389269.0671,2025-01-19T06:47:00.000Z,2025-01-19T06:48:06.000Z,False
2,Litecoin,LTC,litecoin,19,120.71378581575756,1182213139.109526,-34.922,0.28587913,-5.03614197,16.26322143,21.36834719,41.52036252,63.54535251,9106063995.17672,0.2495,10139958008.52,,2025-01-19T06:47:00.000Z,2025-01-19T06:48:06.000Z,False
6636,Polkadot,DOT,polkadot-new,18,6.8913311423706,345359915.50962263,-8.3284,0.18488356,-3.28257163,2.41509577,0.17841952,17.88469757,51.50026999,10613125771.548555,0.2908,10613125771.55,,2025-01-19T06:47:00.000Z,2025-01-19T06:48:06.000Z,False
7083,Uniswap,UNI,uniswap,22,14.068337605075431,356504749.8367842,-12.7249,0.24794734,-1.09024899,2.2870142,12.34370473,54.12560257,82.20173601,8448290492.441701,0.2315,14068337605.08,,2025-01-19T06:47:00.000Z,2025-01-19T06:48:06.000Z,False
5994,Shiba Inu,SHIB,shiba-inu,16,2.212653367925979e-05,726433820.5233709,-41.0725,1.24153033,-4.11643556,1.27360514,2.93768477,-9.13256182,15.20510968,13038174478.336002,0.3572,13043777235.72,,2025-01-19T06:47:00.000Z,2025-01-19T06:48:06.000Z,False
18876,ApeCoin,APE,apecoin-ape,111,1.0890423383202794,88322503.05736879,1.1364,-0.0779921,-2.90087136,-2.49334155,-5.43218156,-0.8693241,-27.2837181,819669365.8359009,0.0225,1089042338.32,,2025-01-19T06:47:00.000Z,2025-01-19T06:48:06.000Z,False
23254,Core,CORE,core-dao,109,0.939863414294732,47238550.9539873,-11.3926,-0.21779484,-4.52338102,-7.26713734,-13.22219234,-0.606226,-5.63403261,878832016.3969244,0.0241,1973713170.02,,2025-01-19T06:47:00.000Z,2025-01-19T06:48:06.000Z,False
131,Dash,DASH,dash,159,38.78887098445277,90500095.60034786,-20.847,0.80794747,-4.71733341,4.72587691,6.646419,39.29468874,57.27584002,469670823.60705537,0.0129,733109661.61,,2025-01-19T06:47:00.000Z,2025-01-19T06:48:06.000Z,False
6758,SushiSwap,SUSHI,sushiswap,175,1.4954965013779562,76779027.21040817,-17.1883,0.24458939,-4.71813504,1.64843977,2.20756753,95.40954159,88.60291935,393781959.161451,0.0108,418581393.16,,2025-01-19T06:47:00.000Z,2025-01-19T06:48:06.000Z,False
20314,Terra,LUNA,terra-luna-v2,245,0.3995835344110139,34423874.00326841,-30.822,0.95963892,-1.63246252,-3.12503236,-2.90411486,-2.92282871,4.37877467,283698091.47921956,0.0078,474188596.95,,2025-01-19T06:47:00.000Z,2025-01-19T06:48:06.000Z,False
