ID,Name,Symbol,Slug,CMCRank,Price,Volume24h,VolumeChange24h,PercentChange1h,PercentChange24h,PercentChange7d,PercentChange30d,PercentChange60d,PercentChange90d,MarketCap,MarketCapDominance,FullyDilutedMarketCap,TVL,LastUpdated,LoadedWhen,IsTopCurrency
1,Bitcoin,BTC,bitcoin,1,104950.38197317653,49698566763.21205,-28.0247,0.39145418,1.74145923,11.09561528,8.08466737,13.23533445,51.98717144,2079290716152.612,57.0781,2203958021436.71,,2025-01-19T06:24:00.000Z,2025-01-19T06:25:01.000Z,True
1027,Ethereum,ETH,ethereum,2,3288.801951651878,32306474575.525536,10.8596,0.39755779,-0.6946014,0.40379976,-2.75918674,5.71205226,20.11629432,396311715538.6493,10.8801,396311715538.65,,2025-01-19T06:24:00.000Z,2025-01-19T06:25:01.000Z,True
5426,Solana,SOL,solana,5,268.55513804330684,24408037934.734276,167.7236,-0.39889911,14.04449519,44.04129433,38.88320107,13.99243044,57.23344957,130700864458.79028,3.5882,159126326642.0,,2025-01-19T06:24:00.000Z,2025-01-19T06:25:01.000Z,True
74,Dogecoin,DOGE,dogecoin,7,0.399076172503187,5723254326.912143,-33.5372,2.14558743,0.63274273,17.26866072,25.39157705,2.37741569,166.94311283,58937183970.59221,1.6171,58937183970.59,,2025-01-19T06:24:00.000Z,2025-01-19T06:25:01.000Z,True
1958,TRON,TRX,tron,10,0.2428881798304372,934147125.6758652,-32.6759,0.44716956,0.39085499,1.30033584,-2.95636668,22.55816576,55.75283826,20926187961.621628,0.5742,20926188973.93,,2025-01-19T06:24:00.000Z,2025-01-19T06:25:01.000Z,True
11840,Optimism,OP,optimism-ethereum,52,1.867565590939258,259588192.99875936,11.5021,0.66917345,0.95260287,3.78036605,-2.88571198,7.48669072,3.14816633,2524423958.3836184,0.0693,8021133136.22,,2025-01-19T06:24:00.000Z,2025-01-19T06:25:01.000Z,False
4030,Algorand,ALGO,algorand,40,0.4387065373737123,297578027.15413976,-20.4242,2.0753821,-1.15733988,17.98032339,27.32553644,98.84333691,234.31987449,3676754889.707184,0.1009,4387065373.74,,2025-01-19T06:24:00.000Z,2025-01-19T06:25:01.000Z,False
3794,Cosmos,ATOM,cosmos,51,6.523195250403802,181292493.8285594,-20.6046,0.26374702,-2.42999035,-1.85595959,-4.70688465,2.20514559,33.80903226,2550140142.753191,0.07,2550140142.75,,2025-01-19T06:24:00.000Z,2025-01-19T06:25:01.000Z,False
328,Monero,XMR,monero,36,216.67041517776715,74379585.72092679,-21.3265,-1.25795701,-0.34754728,9.84664122,10.36809018,35.70944258,33.91164669,3996863697.128664,0.1097,3996863697.13,,2025-01-19T06:24:00.000Z,2025-01-19T06:25:01.000Z,False
7278,Aave,AAVE,aave,32,310.96903691663806,503897940.5418205,-9.5261,0.68832384,-1.8420117,7.60468972,0.52152336,92.1565967,98.63243835,4679575541.449663,0.1285,4975504590.67,21661389269.0671,2025-01-19T06:24:00.000Z,2025-01-19T06:25:01.000Z,False
2,Litecoin,LTC,litecoin,19,120.5596898238862,1204326339.4866009,-33.1803,0.28696829,-3.88194336,15.95176306,19.18527992,40.58421482,62.94528874,9094431450.57934,0.2495,10127013945.21,,2025-01-19T06:24:00.000Z,2025-01-19T06:25:01.000Z,False
6636,Polkadot,DOT,polkadot-new,18,6.906113977029569,350367878.991803,-5.9081,0.47709353,-2.60431772,2.56974507,-1.65439767,17.76087144,51.43508414,10635892365.317852,0.292,10635892365.32,,2025-01-19T06:24:00.000Z,2025-01-19T06:25:01.000Z,False
7083,Uniswap,UNI,uniswap,22,14.080771816995624,365759777.9048693,-8.5853,0.61672929,-0.96808037,2.21057037,10.17170313,52.77192729,81.78471724,8455757460.984484,0.2321,14080771817.0,,2025-01-19T06:24:00.000Z,2025-01-19T06:25:01.000Z,False
5994,Shiba Inu,SHIB,shiba-inu,16,2.2171384752402493e-05,732862772.25231,-39.9539,1.21299547,-3.65570273,1.52534727,0.97598346,-9.24030707,15.29221134,13064603205.295769,0.3586,13070217319.61,,2025-01-19T06:24:00.000Z,2025-01-19T06:25:01.000Z,False
18876,ApeCoin,APE,apecoin-ape,111,1.091981745728452,89027050.23138335,3.0556,-0.0388475,-2.43510635,-2.46920139,-7.0582577,-1.35103001,-28.77791275,821881715.2748642,0.0226,1091981745.73,,2025-01-19T06:24:00.000Z,2025-01-19T06:25:01.000Z,False
23254,Core,CORE,core-dao,109,0.9420988966548128,47736537.13461483,-8.9601,-0.20837516,-3.89342413,-7.29790051,-15.13200021,-1.03283073,-5.13870206,880917726.4398991,0.0242,1978407682.98,,2025-01-19T06:24:00.000Z,2025-01-19T06:25:01.000Z,False
131,Dash,DASH,dash,159,38.789706371682655,91531062.6817914,-20.5013,0.4865592,-4.4712794,4.43801369,4.39853677,38.62078157,57.48553536,469680300.99619424,0.0129,733125450.42,,2025-01-19T06:24:00.000Z,2025-01-19T06:25:01.000Z,False
6758,SushiSwap,SUSHI,sushiswap,175,1.4955298202224696,77408863.49796778,-15.762,0.09707854,-4.42140818,0.95146351,-0.26983243,94.27320747,86.17667103,393790732.4082338,0.0108,418590718.93,,2025-01-19T06:24:00.000Z,2025-01-19T06:25:01.000Z,False
20314,Terra,LUNA,terra-luna-v2,245,0.3975928436264816,37491708.20356519,-19.307,0.30159084,-3.52749601,-3.98999704,-5.21877966,-3.72700927,3.84662171,282284731.9995064,0.0077,471826230.16,,2025-01-19T06:24:00.000Z,2025-01-19T06:25:01.000Z,False
