ID,Symbol,Name,BitcoinVsCurrency24hPercentChangeDiff,PercentChange24h,BitcoinPercentChange24h,LoadedWhen
2,LTC,Litecoin,-6.95993548,-5.03614197,1.92379351,2025-01-19T06:48:06.000Z
6758,SUSHI,SushiSwap,-6.64192855,-4.71813504,1.92379351,2025-01-19T06:48:06.000Z
131,DASH,Dash,-6.6411269200000005,-4.71733341,1.92379351,2025-01-19T06:48:06.000Z
23254,CORE,Core,-6.447174530000001,-4.52338102,1.92379351,2025-01-19T06:48:06.000Z
5994,SHIB,Shiba Inu,-6.0402290700000005,-4.11643556,1.92379351,2025-01-19T06:48:06.000Z
6636,DOT,Polkadot,-5.20636514,-3.28257163,1.92379351,2025-01-19T06:48:06.000Z
3794,ATOM,Cosmos,-4.93678153,-3.01298802,1.92379351,2025-01-19T06:48:06.000Z
18876,APE,ApeCoin,-4.82466487,-2.90087136,1.92379351,2025-01-19T06:48:06.000Z
7278,AAVE,Aave,-4.17299449,-2.24920098,1.92379351,2025-01-19T06:48:06.000Z
328,XMR,Monero,-3.79065933,-1.86686582,1.92379351,2025-01-19T06:48:06.000Z
4030,ALGO,Algorand,-3.7613004,-1.83750689,1.92379351,2025-01-19T06:48:06.000Z
20314,LUNA,Terra,-3.55625603,-1.63246252,1.92379351,2025-01-19T06:48:06.000Z
7083,UNI,Uniswap,-3.0140425000000004,-1.09024899,1.92379351,2025-01-19T06:48:06.000Z
1027,ETH,Ethereum,-2.83479737,-0.91100386,1.92379351,2025-01-19T06:48:06.000Z
74,DOGE,Dogecoin,-2.39585795,-0.47206444,1.92379351,2025-01-19T06:48:06.000Z
1958,TRX,TRON,-2.00727739,-0.08348388,1.92379351,2025-01-19T06:48:06.000Z
11840,OP,Optimism,-1.7159714300000002,0.20782208,1.92379351,2025-01-19T06:48:06.000Z
1,BTC,Bitcoin,0.0,1.92379351,1.92379351,2025-01-19T06:48:06.000Z
5426,SOL,Solana,12.75453545,14.67832896,1.92379351,2025-01-19T06:48:06.000Z
