ID,Symbol,Name,BitcoinVsCurrency24hPercentChangeDiff,PercentChange24h,BitcoinPercentChange24h,LoadedWhen
23254,CORE,Core,-7.551089449999999,-5.69522662,1.85586283,2025-01-19T07:00:06.000Z
2,LTC,Litecoin,-7.321367840000001,-5.46550501,1.85586283,2025-01-19T07:00:06.000Z
6758,SUSHI,SushiSwap,-7.31253414,-5.45667131,1.85586283,2025-01-19T07:00:06.000Z
131,DASH,Dash,-7.02584553,-5.1699827,1.85586283,2025-01-19T07:00:06.000Z
5994,SHIB,Shiba Inu,-6.32538033,-4.4695175,1.85586283,2025-01-19T07:00:06.000Z
6636,DOT,Polkadot,-5.66844521,-3.81258238,1.85586283,2025-01-19T07:00:06.000Z
18876,APE,ApeCoin,-5.33753606,-3.48167323,1.85586283,2025-01-19T07:00:06.000Z
3794,ATOM,Cosmos,-5.2703932600000005,-3.41453043,1.85586283,2025-01-19T07:00:06.000Z
7278,AAVE,Aave,-4.73730458,-2.88144175,1.85586283,2025-01-19T07:00:06.000Z
20314,LUNA,Terra,-4.7282996,-2.87243677,1.85586283,2025-01-19T07:00:06.000Z
328,XMR,Monero,-4.670846259999999,-2.81498343,1.85586283,2025-01-19T07:00:06.000Z
4030,ALGO,Algorand,-4.2649297100000005,-2.40906688,1.85586283,2025-01-19T07:00:06.000Z
7083,UNI,Uniswap,-3.77916528,-1.92330245,1.85586283,2025-01-19T07:00:06.000Z
74,DOGE,Dogecoin,-3.11159813,-1.2557353,1.85586283,2025-01-19T07:00:06.000Z
1027,ETH,Ethereum,-2.76876571,-0.91290288,1.85586283,2025-01-19T07:00:06.000Z
1958,TRX,TRON,-2.22953687,-0.37367404,1.85586283,2025-01-19T07:00:06.000Z
11840,OP,Optimism,-2.13029587,-0.27443304,1.85586283,2025-01-19T07:00:06.000Z
1,BTC,Bitcoin,0.0,1.85586283,1.85586283,2025-01-19T07:00:06.000Z
5426,SOL,Solana,13.93230928,15.78817211,1.85586283,2025-01-19T07:00:06.000Z
