ID,Symbol,Name,BitcoinVsCurrency24hPercentChangeDiff,PercentChange24h,BitcoinPercentChange24h,LoadedWhen
131,DASH,Dash,-6.2127386300000005,-4.4712794,1.74145923,2025-01-19T06:25:01.000Z
6758,SUSHI,SushiSwap,-6.1628674100000005,-4.42140818,1.74145923,2025-01-19T06:25:01.000Z
23254,CORE,Core,-5.63488336,-3.89342413,1.74145923,2025-01-19T06:25:01.000Z
2,LTC,Litecoin,-5.62340259,-3.88194336,1.74145923,2025-01-19T06:25:01.000Z
5994,SHIB,Shiba Inu,-5.39716196,-3.65570273,1.74145923,2025-01-19T06:25:01.000Z
20314,LUNA,Terra,-5.26895524,-3.52749601,1.74145923,2025-01-19T06:25:01.000Z
6636,DOT,Polkadot,-4.34577695,-2.60431772,1.74145923,2025-01-19T06:25:01.000Z
18876,APE,ApeCoin,-4.17656558,-2.43510635,1.74145923,2025-01-19T06:25:01.000Z
3794,ATOM,Cosmos,-4.17144958,-2.42999035,1.74145923,2025-01-19T06:25:01.000Z
7278,AAVE,Aave,-3.58347093,-1.8420117,1.74145923,2025-01-19T06:25:01.000Z
4030,ALGO,Algorand,-2.89879911,-1.15733988,1.74145923,2025-01-19T06:25:01.000Z
7083,UNI,Uniswap,-2.7095396000000003,-0.96808037,1.74145923,2025-01-19T06:25:01.000Z
1027,ETH,Ethereum,-2.43606063,-0.6946014,1.74145923,2025-01-19T06:25:01.000Z
328,XMR,Monero,-2.08900651,-0.34754728,1.74145923,2025-01-19T06:25:01.000Z
1958,TRX,TRON,-1.35060424,0.39085499,1.74145923,2025-01-19T06:25:01.000Z
74,DOGE,Dogecoin,-1.1087164999999999,0.63274273,1.74145923,2025-01-19T06:25:01.000Z
11840,OP,Optimism,-0.78885636,0.95260287,1.74145923,2025-01-19T06:25:01.000Z
1,BTC,Bitcoin,0.0,1.74145923,1.74145923,2025-01-19T06:25:01.000Z
5426,SOL,Solana,12.303035959999999,14.04449519,1.74145923,2025-01-19T06:25:01.000Z
